date,ticker,name,reports,period,epsWallStreet,epsEstimize,epsActual,revWallStreet,revEstimize,revActual
1/25/2017,LKFN,Lakeland Financial Corp.,BMO,FQ4 ‘16,0.52,0.53,0.53,38.52,38.81,39.64
1/26/2017,RHI,Robert Half International Inc.,AMC,FQ4 ‘16,0.64,0.65,0.61,1284,1284,1265
1/26/2017,PX,Praxair Inc.,BMO,FQ4 ‘16,1.41,1.42,1.41,2663,2676,2644
1/26/2017,HTLD,"Heartland Express, Inc.",AMC,FQ4 ‘16,0.15,0.16,0.16,153.74,151.39,140.04
1/26/2017,AJG,Arthur J Gallagher & Co.,AMC,FQ4 ‘16,0.66,0.67,0.66,1389,1398,1385
1/26/2017,MATW,Matthews International Corporation,AMC,FQ1 ‘17,,,0.62,,,349
1/26/2017,ABMD,Abiomed Inc.,BMO,FQ3 ‘17,0.29,0.31,0.34,111.37,112.68,114.67
1/26/2017,AVT,Avnet Inc.,BMO,FQ2 ‘17,0.75,0.75,0.77,4352,4345,4274
1/26/2017,DOV,Dover Corp.,BMO,FQ4 ‘16,0.95,0.94,0.71,1703,1703,1778
1/26/2017,LLL,L-3 Communications Holdings Inc.,BMO,FQ4 ‘16,2.12,2.14,2.38,2772,2763,2989
1/26/2017,CLFD,"Clearfield, Inc.",BMO,FQ1 ‘17,0.09,0.1,0.06,19.6,19.91,18.27
1/26/2017,AEP,"American Electric Power Co., Inc.",BMO,FQ4 ‘16,0.55,0.56,0.67,3155,2987,3800
1/26/2017,ISCA,International Speedway Corp.,BMO,FQ4 ‘16,,,0.72,,,221.84
1/26/2017,LEA,Lear Corp.,BMO,FQ4 ‘16,3.4,3.51,3.8,4733,4768,4644
1/26/2017,BMS,"Bemis Company, Inc.",BMO,FQ4 ‘16,0.66,0.67,0.67,1023,1021,988
1/26/2017,NOC,Northrop Grumman Corporation,BMO,FQ4 ‘16,2.49,2.55,2.66,5912,5964,6397
1/26/2017,SMCI,"Super Micro Computer, Inc.",AMC,FQ2 ‘17,0.47,0.48,0.48,613.71,616.83,651.95
1/26/2017,MRTN,Marten Transport Ltd.,AMC,FQ4 ‘16,0.15,0.15,0.15,168.27,168.76,172.66
1/26/2017,PFPT,"Proofpoint, Inc.",AMC,FQ4 ‘16,0.13,0.17,0.18,105.27,107.13,106.81
1/26/2017,OCFC,OceanFirst Financial Corp.,AMC,FQ4 ‘16,0.38,,0.38,38.5,,35.75
1/26/2017,ASH,Ashland Global Holdings Inc.,AMC,FQ1 ‘17,1.01,1.04,1.16,1179,1164,1193
1/26/2017,LANC,Lancaster Colony Corporation,BMO,FQ2 ‘17,1.38,1.4,1.42,326.16,325.69,326.77
1/26/2017,WCC,WESCO International Inc.,BMO,FQ4 ‘16,0.94,0.95,0.96,1804,1807,1793
1/26/2017,NATI,National Instruments Corporation,AMC,FQ4 ‘16,0.31,0.36,0.34,340.61,341.23,329.44
1/26/2017,VVV,Valvoline Inc,AMC,FQ1 ‘17,0.35,,0.35,503.43,,489
1/26/2017,DCOM,"Dime Community Bancshares, Inc.",AMC,FQ4 ‘16,0.33,,0.33,39,,39.72
1/26/2017,STBA,S&T Bancorp Inc.,BMO,FQ4 ‘16,0.54,0.54,0.51,67.42,66.63,65.38
1/26/2017,EMN,Eastman Chemical Co.,AMC,FQ4 ‘16,1.48,1.49,1.51,2150,2156,2188
1/26/2017,FCAU,Fiat Chrysler Automobiles NV,BMO,FQ4 ‘16,0.39,0.47,0.38,32480,32704,31799
1/26/2017,SHW,The Sherwin-Williams Company,BMO,FQ4 ‘16,2.22,2.24,2.34,2688,2693,2783
